ID,primary_source,archive_event_number,link_web,secondary_source,secondary_source_ID,secondary_source_web,host_com_orig ,host_sci_orig,host_com_res,host_sci_res,host_colloq,host_sci_spec_res,family,epidemiological_unit,number_cases,number_susceptible,number_tested,number_deaths,age,sex,country_iso3,country_name,subnational_administration,city,location_detail,date_confirmed,date_reported,date_published,related_to_other_entries,related_ID,test,sampling_type,test_2,sampling_type_2,test_3,sampling_type_3,negative_test,negative_sampling_type,negative_test_2,negative_sampling_type_2,reason_for_testing,symptoms,outcome,living_conditions,source_of_infection,variant,control_measures,original_source,link_original_source
20200422.7256272_1,ProMED,20200422.7256272,https://promedmail.org/promed-post/?id=7256272,WAHIS,FUR_34086,https://wahis.woah.org/#/in-review/3174?reportId=17451&fromPage=event-dashboard-url,domestic cat,Felis catus,domestic cat,Felis catus,cat,Felis catus,Felidae,animal,1,2,1,0,NS,NS,USA,United States,New York,New York,NA,NS,2020-04-22,2020-04-22,updated by,FUR_34169_1,PCR,NS,gene sequencing,NS,NA,NA,NA,NA,NA,NA,symptoms,respiratory,expected recovery,pet,human,NS,treatment,USDA Animal and Plant Health Inspection Service (APHIS),https://www.aphis.usda.gov/aphis/newsroom/news/sa_by_date/sa-2020/sars-cov-2-animals
20200422.7256272_2,ProMED,20200422.7256272,https://promedmail.org/promed-post/?id=7256272,WAHIS,FUR_34086,https://wahis.woah.org/#/in-review/3174?reportId=17451&fromPage=event-dashboard-url,domestic cat,Felis catus,domestic cat,Felis catus,cat,Felis catus,Felidae,animal,1,1,1,0,NS,NS,USA,United States,New York,New York,NA,NS,2020-04-22,2020-04-22,updated by,FUR_34169_2,PCR,NS,gene sequencing,NS,NA,NA,NA,NA,NA,NA,symptoms,respiratory,expected recovery,pet,NS,NS,treatment,USDA Animal and Plant Health Inspection Service (APHIS),https://www.aphis.usda.gov/aphis/newsroom/news/sa_by_date/sa-2020/sars-cov-2-animals
20200425.7266556_1,ProMED,20200425.7266556,https://promedmail.org/promed-post/?id=7266556,WAHIS,FUR_34053,https://wahis.woah.org/#/in-review/3174?reportId=17426&fromPage=event-dashboard-url,Malayan tiger,Panthera tigris,Malayan tiger,Panthera tigris jacksoni,tiger,Panthera tigris,Felidae,group,2,5,NS,0,NS,f,USA,United States,New York,New York,NA,NS,2020-04-17,2020-04-25,living together,20200406.7191352_1,PCR,faecal sample,NA,NA,NA,NA,NA,NA,NA,NA,confirmed animal case,respiratory,improved condition,zoo,NS,NA,treatment,National Geographic,https://www.nationalgeographic.com/animals/article/tiger-coronavirus-covid19-positive-test-bronx-zoo
20200425.7266556_2,ProMED,20200425.7266556,https://promedmail.org/promed-post/?id=7266556,WAHIS,FUR_34053,https://wahis.woah.org/#/in-review/3174?reportId=17426&fromPage=event-dashboard-url,Siberian tiger,Panthera tigris,tiger,Panthera tigris,tiger,Panthera tigris,Felidae,group,2,5,NS,0,NS,NS,USA,United States,New York,New York,NA,NS,2020-04-17,2020-04-25,living together,20200406.7191352_1,PCR,faecal sample,NA,NA,NA,NA,NA,NA,NA,NA,symptoms,respiratory,improved condition,zoo,NS,NA,treatment,National Geographic,https://www.nationalgeographic.com/animals/article/tiger-coronavirus-covid19-positive-test-bronx-zoo
20200425.7266556_3,ProMED,20200425.7266556,https://promedmail.org/promed-post/?id=7266556,WAHIS,FUR_34053,https://wahis.woah.org/#/in-review/3174?reportId=17426&fromPage=event-dashboard-url,African lion,Panthera leo,lion,Panthera leo,lion,Panthera leo,Felidae,group,3,3,3,0,NS,NS,USA,United States,New York,New York,NA,NS,2020-04-17,2020-04-25,living together,20200406.7191352_1,PCR,faecal sample,NA,NA,NA,NA,NA,NA,NA,NA,symptoms,respiratory,improved condition,zoo,NS,NA,treatment,National Geographic,https://www.nationalgeographic.com/animals/article/tiger-coronavirus-covid19-positive-test-bronx-zoo
20200427.7272289_1,ProMED,20200427.7272289,https://promedmail.org/promed-post/?id=7272289,NA,NA,NA,mink,NS,American mink,Neogale vison,American mink,Neogale vison,Mustelidae,farm,NS,NS,NS,0,NS,NS,NLD,Netherlands,North Brabant,Gemert-Bakel,farm1,NS,NA,2020-04-27,updated by,20200610.7453845_5,NS,NS,NA,NA,NA,NA,NA,NA,NA,NA,NS,observed symptoms not specified,NS,farm,human,NA,exclusion zone,NL Times,https://nltimes.nl/2020/04/26/mink-found-infected-covid-19-two-dutch-fur-farms-areas-now-closed-public
20200427.7272289_2,ProMED,20200427.7272289,https://promedmail.org/promed-post/?id=7272289,NA,NA,NA,mink,NS,American mink,Neogale vison,American mink,Neogale vison,Mustelidae,farm,NS,NS,NS,0,NS,NS,NLD,Netherlands,North Brabant,Laarbeek,farm1,NS,NA,2020-04-27,updated by,20200610.7453845_6,NS,NS,NA,NA,NA,NA,NA,NA,NA,NA,NS,observed symptoms not specified,NS,farm,human,NA,exclusion zone,NL Times,https://nltimes.nl/2020/04/26/mink-found-infected-covid-19-two-dutch-fur-farms-areas-now-closed-public
20200428.7275765_1,ProMED,20200428.7275765,https://promedmail.org/promed-post/?id=7275765,NA,NA,NA,tiger,NS,tiger,Panthera tigris,tiger,Panthera tigris,Felidae,animal,1,44,NS,1,NS,NS,IND,India,Madhya Pradesh,NS,NA,NS,NA,2020-04-28,new,NA,NS,NS,NA,NA,NA,NA,NA,NA,NA,NA,symptoms,abnormal behavior,death,reserve,NS,NA,quarantine of contact animals and humans,The Free Press Journal,https://www.freepressjournal.in/bhopal/madhya-pradesh-pench-forest-staff-qurantined-after-death-of-corona-positive-tiger-is-fit-now
FUR_34169_1,WAHIS,FUR_34169,https://wahis.woah.org/#/in-review/3174?reportId=17502&fromPage=event-dashboard-url,NA,NA,NA,domestic cat,Felis catus,domestic cat,Felis catus,cat,Felis catus,Felidae,animal,1,2,1,0,NS,NS,USA,United States,New York,New York,NA,2020-04-04,2020-04-29,2020-04-29,update of,20200422.7256272_1,virus neutralisation test,serum,NA,NA,NA,NA,NA,NA,NA,NA,symptoms,respiratory,expected recovery,pet,human,NA,isolation,Delegate of United States of America,NA
FUR_34169_2,WAHIS,FUR_34169,https://wahis.woah.org/#/in-review/3174?reportId=17502&fromPage=event-dashboard-url,NA,NA,NA,domestic cat,Felis catus,domestic cat,Felis catus,cat,Felis catus,Felidae,animal,1,1,1,0,NS,NS,USA,United States,New York,New York,NA,2020-04-04,2020-04-29,2020-04-29,update of,20200422.7256272_2,virus neutralisation test,serum,NA,NA,NA,NA,NA,NA,NA,NA,symptoms,respiratory,expected recovery,pet,human,NA,isolation,Delegate of United States of America,NA
20200501.7289409_1,ProMED,20200501.7289409,https://promedmail.org/promed-post/?id=7289409,NA,NA,NA,cat,NS,domestic cat,Felis catus,cat,Felis catus,Felidae,animal,1,NS,NS,0,NS,NS,FRA,France,Île-de-France,Paris,NA,NS,NA,2020-05-01,new,NA,PCR,rectal swab,NA,NA,NA,NA,PCR,nasopharyngeal swab,NA,NA,study,respiratory and gastrointestinal,NS,pet,human,NA,NS,Stephan Zientara with Animal Health Laboratory-ANSES,NA
20200508.7314521_1,ProMED,20200508.7314521,https://promedmail.org/promed-post/?id=7314521,WAHIS,FUR_34221,https://wahis.woah.org/#/in-review/3166?reportId=17530&fromPage=event-dashboard-url,cat,NS,domestic cat,Felis catus,cat,Felis catus,Felidae,animal,1,1,1,0,NS,NS,CHN,China,Hong Kong,Hong Kong,NA,2020-03-31,2020-05-04,2020-05-04,update of,20200402.7173286_1,plaque reduction neutralisation test,serum,NA,NA,NA,NA,NA,NA,NA,NA,confirmed human case,subclinical,negative test,pet,human,NA,isolation,Delegate of Hong Kong,NA
20200509.7316646_1,ProMED,20200509.7316646,https://promedmail.org/promed-post/?id=7316646,NA,NA,NA,mink,NS,American mink,Neogale vison,American mink,Neogale vison,Mustelidae,farm,NS,10000,NS,0,NS,NS,NLD,Netherlands,North Brabant,Gemert-Bakel,farm1,2020-05-07,NA,2020-05-09,updated by,20200610.7453845_7,NS,NS,NA,NA,NA,NA,NA,NA,NA,NA,surveillance/monitoring,NS,NS,farm,NS,NA,exclusion zone,Dutch Ministry of Agriculture: Nature and Food Quality,https://www.rijksoverheid.nl/ministeries/ministerie-van-landbouw-natuur-en-voedselkwaliteit/nieuws/2020/05/08/eerste-resultaten-onderzoek-naar-covid-19-op-nertsenbedrijven-binnen
20200509.7316646_2,ProMED,20200509.7316646,https://promedmail.org/promed-post/?id=7316646,NA,NA,NA,mink,NS,American mink,Neogale vison,American mink,Neogale vison,Mustelidae,farm,NS,NS,NS,0,NS,NS,NLD,Netherlands,North Brabant,Deurne,farm1,2020-05-07,NA,2020-05-09,updated by,20200610.7453845_8,NS,NS,NA,NA,NA,NA,NA,NA,NA,NA,surveillance/monitoring,NS,NS,farm,NS,NA,exclusion zone,Dutch Ministry of Agriculture: Nature and Food Quality,https://www.rijksoverheid.nl/ministeries/ministerie-van-landbouw-natuur-en-voedselkwaliteit/nieuws/2020/05/08/eerste-resultaten-onderzoek-naar-covid-19-op-nertsenbedrijven-binnen
20200512.7328587_1,ProMED,20200512.7328587,https://promedmail.org/promed-post/?id=7328587,NA,NA,NA,domestic cat,NS,domestic cat,Felis catus,cat,Felis catus,Felidae,animal,1,NS,1,0,NS,NS,ESP,Spain,Catalonia,Barcelona,NA,2020-04-22,NA,2020-05-12,new,NA,NS,NS,NA,NA,NA,NA,NA,NA,NA,NA,symptoms,respiratory,death not related to Sars-CoV-2,pet,human,NA,NA,Reuters,https://www.reuters.com/article/us-health-coronavirus-spain-cat/spanish-cat-tests-positive-for-coronavirus-idUSKBN22K1TK
20200513.7332909_1,ProMED,20200513.7332909,https://promedmail.org/promed-post/?id=7332909,NA,NA,NA,cat,NS,domestic cat,Felis catus,cat,Felis catus,Felidae,animal,1,3,3,0,6,f,DEU,Germany,Bavaria,NS,NA,2020-04-29,NA,2020-05-13,new,NA,PCR,throat swab,NA,NA,NA,NA,NA,NA,NA,NA,confirmed human case,subclinical,NS,pet,human,NA,isolation,Prof. Dr. Asisa Volz for University of Veterinary Medicine Hannover,NA
20200513.7332909_2,ProMED,20200513.7332909,https://promedmail.org/promed-post/?id=7332909,NA,NA,NA,cat,NS,domestic cat,Felis catus,cat,Felis catus,Felidae,animal,1,NS,1,0,NS,NS,FRA,France,Nouvelle-Aquitaine,Bordeaux,NA,NS,NA,2020-05-13,new,NA,NS,nasopharyngeal swab,NA,NA,NA,NA,NS,rectal swab,NA,NA,symptoms,respiratory,NS,pet,human,NA,NS,Le Figaro,https://www.lefigaro.fr/sciences/un-deuxieme-chat-teste-positif-au-coronavirus-en-france-20200512
20200517.7344274_1,ProMED,20200517.7344274,https://promedmail.org/promed-post/?id=7344274,NA,NA,NA,cat,NS,domestic cat,Felis catus,cat,Felis catus,Felidae,group,3,NS,11,0,NS,NS,NLD,Netherlands,North Brabant,NS,NA,NS,NA,2020-05-17,updated by,20200525.7375359_1,antibody test,NS,NA,NA,NA,NA,PCR,NS,NA,NA,confirmed animal case,NS,NS,feral,NS,NA,NS,Veearts.nl,https://www.veehouderenveearts.nl/20200515/katten-op-nertsenbedrijven-besmet-met-coronavirus/
20200517.7344274_2,ProMED,20200517.7344274,https://promedmail.org/promed-post/?id=7344274,NA,NA,NA,dog,NS,dog,Canis lupus familiaris,dog,Canis lupus,Canidae,animal,1,NS,1,1,8,NS,NLD,Netherlands,NS,NS,NA,NS,NA,2020-05-17,new,NA,antibody test,NS,NA,NA,NA,NA,NA,NA,NA,NA,symptoms,respiratory,death,pet,human,NA,euthanasia,Veearts.nl,https://www.veehouderenveearts.nl/20200515/katten-op-nertsenbedrijven-besmet-met-coronavirus/
20200525.7375359_1,ProMED,20200525.7375359,https://promedmail.org/promed-post/?id=7375359,NA,NA,NA,cat,NS,domestic cat,Felis catus,cat,Felis catus,Felidae,group,7,NS,24,0,NS,NS,NLD,Netherlands,North Brabant,NS,NA,NS,NA,2020-05-25,updated by,20200830.7730463_4,antibody test,serum,NA,NA,NA,NA,NA,NA,NA,NA,confirmed animal case,NS,NS,feral,NS,NA,NS,An update letter from the Minister of Agriculture to the Dutch House of Representatives,https://www.rijksoverheid.nl/regering/bewindspersonen/carola-schouten/documenten/kamerstukken/2020/05/25/kamerbrief-ontwikkelingen-covid-19-op-nertsenbedrijven
20200526.7379578_1,ProMED,20200526.7379578,https://promedmail.org/promed-post/?id=7379578,WAHIS,IN_34443,https://wahis.woah.org/#/in-review/3201?reportId=17670&fromPage=event-dashboard-url,cat,NS,domestic cat,Felis catus,cat,Felis catus,Felidae,animal,1,1,1,0,5,NS,RUS,Russian Federation,Moskovskaya Oblast,Moscow,NA,2020-05-22,2020-05-26,2020-05-26,new,NA,PCR,nasal swab,PCR,throat swab,NA,NA,NA,NA,NA,NA,NS,NS,NS,pet,NS,NA,treatment,WAHIS,https://wahis.woah.org/#/in-review/3201?reportId=17670&fromPage=event-dashboard-url
20200602.7420433_1,ProMED,20200602.7420433,https://promedmail.org/promed-post/?id=7420433,NA,NA,NA,mink,NS,American mink,Neogale vison,American mink,Neogale vison,Mustelidae,farm,NS,NS,NS,0,NS,NS,NLD,Netherlands,North Brabant,Sint Anthonis,farm1,2020-05-31,NA,2020-06-02,updated by,20200610.7453845_9,NS,NS,NA,NA,NA,NA,NA,NA,NA,NA,surveillance/monitoring,NS,NS,farm,NS,NA,NS,Dutch News,https://www.dutchnews.nl/news/2020/06/coronavirus-found-on-more-mink-farms-taking-total-to-eight/
20200602.7420433_2,ProMED,20200602.7420433,https://promedmail.org/promed-post/?id=7420433,NA,NA,NA,mink,NS,American mink,Neogale vison,American mink,Neogale vison,Mustelidae,farm,NS,NS,NS,0,NS,NS,NLD,Netherlands,North Brabant,Sint Anthonis,farm2,2020-05-31,NA,2020-06-02,updated by,20200610.7453845_10,NS,NS,NA,NA,NA,NA,NA,NA,NA,NA,surveillance/monitoring,NS,NS,farm,NS,NA,NS,Dutch News,https://www.dutchnews.nl/news/2020/06/coronavirus-found-on-more-mink-farms-taking-total-to-eight/
20200602.7420433_3,ProMED,20200602.7420433,https://promedmail.org/promed-post/?id=7420433,NA,NA,NA,mink,NS,American mink,Neogale vison,American mink,Neogale vison,Mustelidae,farm,NS,NS,NS,0,NS,NS,NLD,Netherlands,North Brabant,Gemert-Bakel,farm1,2020-05-31,NA,2020-06-02,updated by,20200610.7453845_11,NS,NS,NA,NA,NA,NA,NA,NA,NA,NA,surveillance/monitoring,NS,NS,farm,NS,NA,NS,Dutch News,https://www.dutchnews.nl/news/2020/06/coronavirus-found-on-more-mink-farms-taking-total-to-eight/
20200602.7420541_1,ProMED,20200602.7420541,https://promedmail.org/promed-post/?id=7420541,WAHIS,FUR_34525,https://wahis.woah.org/#/in-review/3174?reportId=17718&fromPage=event-dashboard-url,dog,Canis lupus familiaris,dog,Canis lupus familiaris,dog,Canis lupus,Canidae,animal,1,2,2,0,NS,NS,USA,United States,New York,NS,NA,2020-06-02,2020-06-02,2020-06-02,updated by,FUR_35306_1,PCR,NS,gene sequencing,NS,virus neutralisation test,NS,NA,NA,NA,NA,symptoms,respiratory,expected recovery,pet,human,NS,treatment,USDA APHIS,https://www.aphis.usda.gov/aphis/newsroom/stakeholder-info/sa_by_date/sa-2020/sa-06/sars-cov-2-dog
20200602.7420541_2,ProMED,20200602.7420541,https://promedmail.org/promed-post/?id=7420541,WAHIS,FUR_34525,https://wahis.woah.org/#/in-review/3174?reportId=17718&fromPage=event-dashboard-url,dog,Canis lupus familiaris,dog,Canis lupus familiaris,dog,Canis lupus,Canidae,animal,1,2,2,0,NS,NS,USA,United States,New York,NS,NA,2020-06-02,2020-06-02,2020-06-02,living together,20200602.7420541_1,virus neutralisation test,NS,NA,NA,NA,NA,PCR,NS,NA,NA,confirmed animal case,subclinical,NS,pet,human,NA,NS,USDA APHIS,https://www.aphis.usda.gov/aphis/newsroom/stakeholder-info/sa_by_date/sa-2020/sa-06/sars-cov-2-dog
20200604.7427849_1,ProMED,20200604.7427849,https://promedmail.org/promed-post/?id=7427849,NA,NA,NA,mink,NS,American mink,Neogale vison,American mink,Neogale vison,Mustelidae,farm,NS,NS,NS,NS,NS,NS,NLD,Netherlands,Limburg,Vernay,farm1,NS,NA,2020-06-04,new,NA,NS,NS,NA,NA,NA,NA,NA,NA,NA,NA,NS,NS,death,farm,NS,NA,culling,Limburg24,https://limburg24.nl/nertsenbedrijf-in-venray-wordt-geruimd-na-uitbraak-coronavirus/
20200605.7429133_1,ProMED,20200605.7429133,https://promedmail.org/promed-post/?id=7429133,WAHIS,FUR_34548,https://wahis.woah.org/#/in-review/3174?reportId=17731&fromPage=event-dashboard-url,domestic cat,Felis catus,domestic cat,Felis catus,cat,Felis catus,Felidae,animal,1,1,1,0,NS,NS,USA,United States,Minnesota,NS,NA,2020-06-02,2020-06-03,2020-06-05,new,NA,PCR,NS,gene sequencing,NS,NA,NA,NA,NA,NA,NA,symptoms,respiratory,recovery,pet,human,NS,isolation,Minnesota CBS Local,https://minnesota.cbslocal.com/2020/06/03/household-cat-tests-positive-for-coronavirus-in-carver-county/
20200610.7453845_1,ProMED,20200610.7453845,https://promedmail.org/promed-post/?id=7453845,NA,NA,NA,mink,NS,American mink,Neogale vison,American mink,Neogale vison,Mustelidae,farm,NS,NS,NS,NS,NS,NS,NLD,Netherlands,North Brabant,Landhorst,farm1,NS,NA,2020-06-10,new,NA,NS,NS,NA,NA,NA,NA,NA,NA,NA,NA,surveillance/monitoring,NS,death,farm,NS,NA,culling,A letter from the Ministers of Health and of Agriculture to the Dutch House of Representatives: reference no. 1701824-206628-PG a,https://www.government.nl/documents/parliamentary-documents/2020/06/09/letter-about-update-on-covid-19-and-minks
20200610.7453845_2,ProMED,20200610.7453845,https://promedmail.org/promed-post/?id=7453845,NA,NA,NA,mink,NS,American mink,Neogale vison,American mink,Neogale vison,Mustelidae,farm,NS,NS,NS,NS,NS,NS,NLD,Netherlands,North Brabant,Landhorst,farm2,NS,NA,2020-06-10,new,NA,NS,NS,NA,NA,NA,NA,NA,NA,NA,NA,surveillance/monitoring,NS,death,farm,NS,NA,culling,A letter from the Ministers of Health and of Agriculture to the Dutch House of Representatives: reference no. 1701824-206628-PG a,https://www.government.nl/documents/parliamentary-documents/2020/06/09/letter-about-update-on-covid-19-and-minks
20200610.7453845_3,ProMED,20200610.7453845,https://promedmail.org/promed-post/?id=7453845,NA,NA,NA,mink,NS,American mink,Neogale vison,American mink,Neogale vison,Mustelidae,farm,NS,NS,NS,NS,NS,NS,NLD,Netherlands,North Brabant,Volkel,farm1,NS,NA,2020-06-10,new,NA,NS,NS,NA,NA,NA,NA,NA,NA,NA,NA,surveillance/monitoring,NS,death,farm,NS,NA,culling,A letter from the Ministers of Health and of Agriculture to the Dutch House of Representatives: reference no. 1701824-206628-PG a,https://www.government.nl/documents/parliamentary-documents/2020/06/09/letter-about-update-on-covid-19-and-minks
20200610.7453845_4,ProMED,20200610.7453845,https://promedmail.org/promed-post/?id=7453845,NA,NA,NA,mink,NS,American mink,Neogale vison,American mink,Neogale vison,Mustelidae,farm,NS,NS,NS,NS,NS,NS,NLD,Netherlands,Limburg,Castenray,farm1,NS,NA,2020-06-10,new,NA,NS,NS,NA,NA,NA,NA,NA,NA,NA,NA,symptoms,NS,death,farm,NS,NA,culling,A letter from the Ministers of Health and of Agriculture to the Dutch House of Representatives: reference no. 1701824-206628-PG a,https://www.government.nl/documents/parliamentary-documents/2020/06/09/letter-about-update-on-covid-19-and-minks
20200610.7453845_5,ProMED,20200610.7453845,https://promedmail.org/promed-post/?id=7453845,NA,NA,NA,mink,NS,American mink,Neogale vison,American mink,Neogale vison,Mustelidae,farm,NS,NS,NS,NS,NS,NS,NLD,Netherlands,North Brabant,Gemert-Bakel,farm1,NS,NA,2020-06-10,update of,20200427.7272289_1,NS,NS,NA,NA,NA,NA,NA,NA,NA,NA,NS,observed symptoms not specified,death,farm,human,NA,culling,A letter from the Ministers of Health and of Agriculture to the Dutch House of Representatives: reference no. 1701824-206628-PG a,https://www.government.nl/documents/parliamentary-documents/2020/06/09/letter-about-update-on-covid-19-and-minks
20200610.7453845_6,ProMED,20200610.7453845,https://promedmail.org/promed-post/?id=7453845,NA,NA,NA,mink,NS,American mink,Neogale vison,American mink,Neogale vison,Mustelidae,farm,NS,NS,NS,NS,NS,NS,NLD,Netherlands,North Brabant,Laarbeek,farm1,NS,NA,2020-06-10,update of,20200427.7272289_2,NS,NS,NA,NA,NA,NA,NA,NA,NA,NA,NS,observed symptoms not specified,death,farm,human,NA,culling,A letter from the Ministers of Health and of Agriculture to the Dutch House of Representatives: reference no. 1701824-206628-PG a,https://www.government.nl/documents/parliamentary-documents/2020/06/09/letter-about-update-on-covid-19-and-minks
